id,time,numPubs,sumJaccard,sumAdamic,sumInstituteSim,sumClusteringCoef,sumSimMesh,sumCommonFriend,sumCoauthor,dead
adrian_t_1278750_1,3,16,0.151754,1.675465,1.000000,0.943750,0.015356,2.571429,20.285714,0
adrian_t_1278750_1,4,4,0.245455,1.137799,1.000000,1.125000,0.016043,1.500000,8.000000,0
adrian_t_1278750_1,5,3,0.400000,1.517065,1.000000,1.833333,0.046046,2.000000,8.000000,0
adrian_t_1278750_1,6,18,0.301538,2.805747,1.000000,1.287233,0.011500,5.250000,22.562500,0
adrian_t_1278750_1,7,8,0.609737,2.543254,1.000000,1.808081,0.024950,5.000000,13.833333,0
adrian_t_1278750_1,8,4,0.518182,1.948753,1.000000,1.866667,0.038561,3.000000,9.500000,0
adrian_t_1278750_1,9,12,0.444444,2.860884,1.000000,1.451948,0.038808,5.636364,19.000000,0
adrian_t_1278750_1,10,10,0.585034,2.691959,1.000000,1.701073,0.034976,5.142857,14.142857,1
advani_s_5118801_4,0,10,0.222222,1.756559,0.888889,1.177778,0.019012,2.222222,12.555556,0
advani_s_5118801_4,1,11,0.277778,1.977623,0.395833,1.240476,0.038462,2.500000,11.500000,0
advani_s_5118801_4,2,4,0.181250,1.237355,1.000000,1.183333,0.040904,1.000000,6.750000,0
advani_s_5118801_4,3,7,0.176587,1.528537,1.000000,1.142857,0.022619,1.428571,9.571429,0
advani_s_5118801_4,4,5,0.666667,2.485340,1.000000,2.000000,0.058824,4.000000,10.000000,0
advani_s_5118801_4,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
advani_s_5118801_4,6,18,0.612469,4.410780,1.000000,1.635140,0.036460,11.411765,30.058824,1
aeed_h_7540635_4,0,3,0.416667,1.556251,1.000000,1.809524,0.088567,2.000000,7.333333,0
aeed_h_7540635_4,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aeed_h_7540635_4,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
aeed_h_7540635_4,3,7,0.434545,1.931140,1.000000,1.526667,0.032657,3.200000,11.000000,0
aeed_h_7540635_4,4,5,0.542222,2.179061,1.000000,1.793956,0.068904,4.000000,12.400000,0
aeed_h_7540635_4,5,12,0.515462,2.745010,1.000000,1.430856,0.031828,6.000000,18.777778,0
aeed_h_7540635_4,6,7,0.728571,3.033008,1.000000,1.944444,0.049875,6.000000,14.285714,0
aeed_h_7540635_4,7,9,0.644746,3.285711,1.000000,1.739646,0.042239,8.000000,20.888889,1
aerts_j_8774879_3,0,8,0.688657,3.158181,1.000000,1.858531,0.061325,7.000000,18.625000,0
aerts_j_8774879_3,1,7,0.587987,2.707266,1.000000,1.712786,0.067271,6.000000,17.000000,0
aerts_j_8774879_3,2,12,0.760573,4.229543,1.000000,1.835194,0.052302,11.000000,25.666667,0
aerts_j_8774879_3,3,14,0.648148,3.248652,0.388889,1.727920,0.052819,7.333333,19.000000,0
aerts_j_8774879_3,4,11,0.751124,3.978965,1.000000,1.851727,0.039746,10.000000,24.000000,1
agabio_r_7875232_2,0,10,0.600000,2.164042,1.000000,2.000000,0.027027,3.000000,8.000000,0
agabio_r_7875232_2,1,17,0.510417,2.536460,1.000000,1.404807,0.022408,5.250000,16.125000,0
agabio_r_7875232_2,2,20,0.422222,2.359180,1.000000,1.334453,0.038464,4.666667,17.444444,0
agabio_r_7875232_2,3,23,0.623748,3.608352,0.727273,1.686780,0.020298,9.272727,25.181818,0
agabio_r_7875232_2,4,5,0.263273,1.503778,1.000000,1.502639,0.025945,4.000000,21.000000,0
agabio_r_7875232_2,5,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agabio_r_7875232_2,6,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agabio_r_7875232_2,7,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
agmon_i_8589246_9,0,12,0.846154,4.426726,0.000000,2.000000,0.100000,11.000000,24.000000,0
agmon_i_8589246_9,1,8,0.777778,3.366288,1.000000,2.000000,0.076923,7.000000,16.000000,0
agmon_i_8589246_9,2,6,0.714286,2.790553,1.000000,2.000000,0.066667,5.000000,12.000000,0
agmon_i_8589246_9,3,9,0.653595,3.305149,1.000000,1.844444,0.075196,8.000000,21.111111,0
agmon_i_8589246_9,4,11,0.808081,4.112073,1.000000,1.955882,0.068723,10.000000,22.545455,1
agostoni_a_13079446_3,0,5,0.666667,2.485340,0.000000,2.000000,0.071429,4.000000,10.000000,0
agostoni_a_13079446_3,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agostoni_a_13079446_3,2,9,0.355556,2.342541,1.000000,1.444444,0.050000,3.555556,13.555556,0
agostoni_a_13079446_3,3,3,0.500000,1.820478,1.000000,2.000000,0.083333,2.000000,6.000000,0
agostoni_a_13079446_3,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agostoni_a_13079446_3,5,9,0.316955,2.053718,0.555556,1.272006,0.044094,3.555556,16.111111,0
agostoni_a_13079446_3,6,5,0.450427,1.955941,1.000000,1.617758,0.052794,4.000000,15.600000,0
agostoni_a_13079446_3,7,2,0.229167,0.978297,0.000000,1.619048,0.185185,1.000000,6.500000,0
agostoni_a_13079446_3,8,39,0.833552,9.982674,1.000000,1.870457,0.098148,38.000000,85.615385,1
aguirre_f_2527613_5,0,27,0.332570,3.518792,1.000000,1.091560,0.014928,10.181818,46.681818,0
aguirre_f_2527613_5,1,20,0.252222,2.795506,1.000000,1.117581,0.022381,6.300000,34.150000,1
agy_m_2591167_1,0,7,0.728571,3.033008,1.000000,1.944444,0.052910,6.000000,14.285714,0
agy_m_2591167_1,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,2,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,4,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,5,6,0.509158,2.305059,0.000000,1.640152,0.039533,5.000000,15.666667,0
agy_m_2591167_1,6,8,0.645524,3.061515,0.000000,1.825015,0.047847,7.000000,19.000000,0
agy_m_2591167_1,7,15,0.408413,3.171944,1.000000,1.382218,0.036697,6.800000,23.733333,0
agy_m_2591167_1,8,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,9,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
agy_m_2591167_1,10,9,0.641462,3.268056,1.000000,1.800589,0.042552,8.000000,23.333333,0
